Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,4. Forth:,5. Fifth:,6. sixth:,7. seventh:,8. eighth,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Intensive english,1Y_Seminar,1Y_CPSCT,1Y_Analysis I,1Y_Algebra,1Y_A. Com. I,1Y_Average S1,1Y_Intro. Prog. C++,1Y_Analysis II,1Y_A. Com. II,1Y_OOP,1Y_Linear Algebra,1Y_Proba Stat,1Y_Average S2,1Y_Average,2Y_Analysis III,2Y_DSA,2Y_Archi 1,2Y_Logic,2Y_Complexity,2Y_Proba Stat II,2Y_Lin. Alg II,2Y_DataBases,2Y_Average S1,2Y_Intro AI,2Y_Oper. res,2Y_Archi II,2Y_Oper. Syst,2Y_Soft. Eng.,2Y_Web Prog.,2Y_Intro. Busin.,2Y_Average S2,2Y_Average
Female,First year,Science,"10-17",In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Interactive workshops","Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,3,No,5,5,Positively,5-7 hours,3,9,9,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"34-41",In the school's library,Alone,"Project-based learning, Mind mapping and visualization","Online tutorials, YouTube videos",Yes,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,2,No,4,5,You do not care about,5-7 hours,4,8,8,8,7,,,,,,,,,,,,,,,,High,High,High,High,High,High,High,Very High,High,Low,Moderate,High,High,High,High,High,12,13
Female,Second year,Science,"34-41",In your room (dorms),Alone,Learning by practicing,Online documents,No,Private life problems,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2,No,3,5,Positively,5-7 hours,3,9,6,6,9,High,High,High,High,Moderate,Moderate,12,Moderate,Moderate,Very High,Moderate,Moderate,Moderate,11,11,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"10-17",In the school's library,Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, YouTube videos",No,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Lack of time,Teaching language,Pressure,3,Yes,3,3,You do not care about,8 hours or more,5,8,8,8,2,,,,,,,,,,,,,,,,High,Very High,Moderate,High,Moderate,Moderate,Moderate,High,High,Moderate,High,High,High,High,High,High,13,13
Female,Second year,Mathematics,"26-33",In the dorms' library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online documents",No,Teachers' teaching method,Pressure,Bad quality of internet,Private life problems,Lack of time,Teaching language,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,1,No,4,5,Negatively,8 hours or more,3,9,7,7,8,Very High,Very High,Very High,Very High,High,Very High,17,Very High,Very High,Very High,Very High,Very High,Very High,16,17,,,,,,,,,,,,,,,,,,
Female,First year,Science,"34-41",At home,Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Private life problems,2,No,3,3,You do not care about,5-7 hours,3,7,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"18-25",In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Private life problems,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2,Yes,3,3,Negatively,5-7 hours,3,6,6,6,8,High,High,Moderate,Very High,High,Moderate,14,High,Very High,High,High,Moderate,Moderate,13,13,,,,,,,,,,,,,,,,,,
Male,Second year,Science,"18-25",In your room (dorms),Alone,Learning by practicing,"Books, Online documents",No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Pressure,Not having a good (powerful) computer,Private life problems,Teaching language,2,No,4,4,Negatively,8 hours or more,3,8,9,9,8,Very High,Very High,Very High,Very High,High,High,16,Very High,Very High,Very High,Very High,High,Very High,17,16,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"26-33",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",Yes,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,3,Yes,3,5,Positively,5-7 hours,1,7,5,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"10-17",At home,Alone,"Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2,No,3,5,You do not care about,8 hours or more,2,8,6,6,5,Very High,High,High,High,Moderate,High,13,Moderate,Moderate,High,Moderate,Moderate,Moderate,10,11,,,,,,,,,,,,,,,,,,
Female,First year,Technical maths,"10-17",In the school's library,With a group,Learning by practicing,YouTube videos,No,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,2,No,4,4,Positively,5-7 hours,3,9,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Teaching language,Lack of time,Private life problems,Not having a good (powerful) computer,1,No,2,5,You do not care about,5-7 hours,1,7,7,7,7,Very High,High,High,High,High,Moderate,14,High,Very High,High,High,Moderate,High,14,14,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"18-25",In your room (dorms),With a group,"Interactive workshops, Online courses and tutorials","Books, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,1,Yes,5,3,Negatively,5-7 hours,1,7,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Technical maths,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Lack of time,Teaching language,Teachers' teaching method,Bad quality of internet,Private life problems,2,No,2,3,You do not care about,5-7 hours,1,6,2,3,2,,,,,,,,,,,,,,,,High,High,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,9,10
Female,Second year,Science,"26-33",In the school's library,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,3,No,4,5,Positively,5-7 hours,3,7,7,8,9,High,High,High,Very High,High,High,14,Moderate,Very High,Very High,High,Moderate,Moderate,12,13,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos, couses and slides sent by our teachers",Yes,Bad quality of internet,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,3,Yes,4,3,Positively,5-7 hours,2,8,7,8,6,High,High,High,High,Moderate,High,13,Moderate,Moderate,High,High,Low,Moderate,10,11,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"More than 41 hours",In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, YouTube videos",No,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,Teaching language,Not having a good (powerful) computer,Private life problems,Private life problems,2,Yes,5,5,Positively,5-7 hours,3,5,5,4,6,High,High,High,High,High,High,13,High,High,High,Moderate,Moderate,Moderate,11,12,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"26-33",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization","Books, Online documents",Yes,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Teaching language,Not having a good (powerful) computer,3,Yes,5,4,Positively,5-7 hours,4,8,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,Mind mapping and visualization,YouTube videos,No,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Not having a good (powerful) computer,3,Yes,2,4,Positively,8 hours or more,2,8,7,7,9,,,,,,,,,,,,,,,,Very High,Moderate,Moderate,Moderate,High,Moderate,High,High,High,Moderate,High,High,High,High,Moderate,Very High,13,13
Female,First year,Science,"10-17",In the school's library,With a group,Learning by practicing,YouTube videos,Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Lack of time,Pressure,Teaching language,Bad quality of internet,Not having a good (powerful) computer,3,No,5,5,You do not care about,5-7 hours,3,10,5,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"34-41",In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2,No,1,1,Negatively,5-7 hours,3,9,8,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Teaching language,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,2,No,3,5,Positively,4 hours or less,3,9,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"26-33",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Pressure,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,3,Yes,4,4,You do not care about,5-7 hours,2,8,6,6,7,,,,,,,,,,,,,,,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,10,10
Female,First year,Mathematics,"34-41",In the school's library,With a group,Learning by practicing,YouTube videos,Yes,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Not having a good (powerful) computer,2,No,4,5,Positively,5-7 hours,3,7,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"18-25",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Teaching language,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,3,Yes,3,5,You do not care about,8 hours or more,3,7,6,6,6,High,High,High,High,Moderate,High,13,Low,Moderate,High,Low,Moderate,Moderate,9,11,,,,,,,,,,,,,,,,,,
Male,Second year,Science,"18-25",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,Not having a good (powerful) computer,Pressure,Bad quality of internet,Teaching language,2,Yes,5,4,Negatively,5-7 hours,4,6,5,7,7,Very High,High,Very High,Very High,High,High,15,High,High,High,High,Moderate,Low,12,13,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"34-41",In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Lack of time,Lack of time,2,No,3,4,Positively,5-7 hours,3,8,7,7,7,Very High,High,High,High,Moderate,High,14,Moderate,High,Very High,Moderate,Moderate,Moderate,11,12,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization","Books, Online tutorials",No,Teaching language,Lack of time,Pressure,Bad quality of internet,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,4,No,4,4,You do not care about,8 hours or more,2,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Science,"26-33",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials",Online documents,Yes,Lack of time,Pressure,Teachers' teaching method,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teachers' teaching method,3,Yes,3,5,You do not care about,5-7 hours,3,7,9,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"26-33",At home,Alone,"Lectures, Online courses and tutorials","Books, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Lack of time,Lack of time,Pressure,3,Yes,5,5,Positively,5-7 hours,3,7,8,8,8,High,High,Very High,Very High,High,High,15,High,High,High,High,Moderate,High,13,14,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),With a group,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,2,No,2,4,Negatively,5-7 hours,3,8,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,Lectures,Online documents,No,Bad quality of internet,Lack of time,Pressure,Private life problems,Teachers' teaching method,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Teaching language,3,No,4,4,You do not care about,5-7 hours,3,8,9,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),In peer,"Learning by practicing, Online courses and tutorials","Online documents, YouTube videos",No,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,3,No,3,5,You do not care about,5-7 hours,3,7,5,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Science,"34-41",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Pressure,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2,No,1,4,Negatively,4 hours or less,3,6,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
